scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,min_coords_biggest_building,max_coords_biggest_building,scene_total_area,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,tot_buildings_volume_max,avg_building_volume,max_building_volume
2801546,[400.       430.6617    27.569536],48,128,8,23.25531914893617,27.569536209106445,4.438958644866943,17.204341107226433,1546,32.8936170212766,192,[-130.21103   79.15525    0.     ],[ 43.37667  230.66171   14.443492],172264.69,65119.37308045945,1385.5185761799883,26299.658273939567,0.14759539983626244,15.267004895556186,0.8042963397126811,37.80192796649602,1036265.6754059932,22048.205859701982,379858.9021921004
2810714,[400.    400.     35.386],55,36,8,10.666666666666666,35.38600158691406,4.249364376068115,14.612269710611415,758,14.037037037037036,54,[-152.47379 -113.1205     0.     ],[-90.16423  -53.00853   17.516176],160000.0,22064.309261758033,408.5983196621858,3745.55004142737,0.02421691340275288,2.3409687758921063,0.2553739497888661,13.790193288598767,365303.16797535855,6764.873481025158,65607.71458053422
2805368,[400.       400.        17.693586],5,24,8,20.0,17.693586349487305,4.130385875701904,13.050573706626892,112,28.0,34,[-19.128399  81.65884    0.      ],[-1.9097462 97.26581   17.693586 ],160000.0,1035.9001790828916,258.9750447707229,268.7310264958214,0.14820991071765094,0.16795689155988838,0.16185940298170182,0.6474376119268073,13787.074687768705,3446.7686719421763,4754.815622090177
2800393,[400.      400.       39.02797],29,56,8,16.357142857142858,39.02796936035156,4.693404674530029,17.467622569629125,633,22.607142857142858,82,[-101.51869    56.441296    0.      ],[-33.176865 130.78049   19.774912],160000.0,23006.727138840255,821.668826387152,5080.476189675392,0.016773368378308076,3.17529761854712,0.51354301649197,14.379204461775156,430575.5734355229,15377.699051268677,100465.96896177455
2800012,[400.       400.        20.931377],36,210,6,20.457142857142856,20.931377410888672,4.189436912536621,12.764866379329137,1014,28.97142857142857,313,[ -85.95913 -130.69016    0.     ],[-20.319664 -41.723392  17.154266],160000.0,33732.442077062915,963.7840593446549,5839.730725626228,0.005914640716728172,3.6498317035163925,0.6023650370904092,21.082776298164326,513041.2930112334,14658.32265746381,100176.29632301284
2803071,[400.       400.        24.484234],116,238,8,18.48695652173913,24.484233856201172,3.8985512256622314,13.486732625961304,2968,25.808695652173913,333,[-17.393673 -21.633556   0.      ],[20.478657 16.281872 24.484234],160000.0,59964.3450495214,521.4290873871427,2222.4276604905463,0.023099147508578426,1.3890172878065914,0.3258931796169642,37.477715655950874,907945.2042516408,7895.175689144699,35158.027789618194
2800741,[400.       400.        19.656876],26,56,8,19.44,19.656875610351562,4.638827800750732,14.550390949249268,679,27.16,82,[20.107513 84.1408    0.      ],[ 93.11776  139.70007   19.251202],160000.0,34234.21853082788,1369.368741233115,5440.267780045804,0.06729299384460319,3.4001673625286277,0.855855463270697,21.396386581767427,540385.3352332063,21615.413409328252,78090.50089751094
2811625,[400.      400.       20.97802],118,40,6,12.444444444444445,20.97801971435547,4.142964839935303,10.373068149273212,1950,16.666666666666668,58,[48.17013  53.026276  0.      ],[87.076584 75.68008  16.719534],160000.0,31473.457057838437,269.0039064772516,883.939558677841,0.03537329268071972,0.5524622241736507,0.16812744154828227,19.67091066114902,402779.9431635065,3442.563616782108,14736.246486580367
2809415,[400.       400.        27.805359],83,60,8,21.0,27.80535888671875,4.196754455566406,17.277100958475252,2465,30.0609756097561,88,[  40.387024 -119.62532     0.      ],[ 94.082695  -72.98216    12.8839655],160000.0,40672.509317136304,496.00621118458906,2504.535667970078,0.056337933517115746,1.5653347924812988,0.3100038819903681,25.42031832321019,735314.2584597874,8967.24705438765,32268.35112023212
2800939,[400.       400.        20.988348],82,44,8,14.716049382716049,20.98834800720215,4.129528999328613,12.32485200740673,1632,20.14814814814815,64,[-52.310036 -80.78525    0.      ],[ -5.2092533 -34.231464   17.96624  ],160000.0,55180.41977010912,681.2397502482609,2440.419389216113,0.08980359862066507,1.5252621182600705,0.42577484390516296,34.48776235631821,792694.5408437278,9786.352356095405,39394.92683257993
