scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,diff_coords_biggest_building,min_coords_biggest_building,max_coords_biggest_building,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,tot_buildings_volume_max,avg_building_volume,max_building_volume
2800026,[400.       400.        18.399385],70,28,8,9.91304347826087,18.399385452270508,3.9804983139038086,7.896051185718481,888,12.869565217391305,40,"[41.46712875366211, 54.19017791748047, 14.458565711975098]","[-101.21517181396484, 5.782533645629883, 0.0]","[-59.748043060302734, 59.97270965576172, 14.458565711975098]",16909.65232489301,245.0674249984494,2247.1110057957485,0.017131373746415192,1.4044443786223428,0.15316714062403083,10.56853270305813,185617.65043806395,2690.1108759139706,32490.002139400283
2800240,[400.       400.        21.733725],30,24,8,14.620689655172415,21.73372459411621,12.87827205657959,16.534645244993012,578,19.93103448275862,34,"[59.03837585449219, 34.38619613647461, 17.145200729370117]","[-79.78141784667969, -15.726993560791016, 0.0]","[-20.743040084838867, 18.659202575683594, 17.145200729370117]",13509.040918999177,465.82899720686817,2030.1052372979393,0.14063996089826106,1.268815773311212,0.2911431232542926,8.443150574374485,222641.3114477685,7677.286601647191,34806.561795218724
2802417,[400.       400.        21.226692],69,74,8,24.147058823529413,21.22669219970703,4.310367107391357,15.614564341657301,2345,34.48529411764706,111,"[79.5587387084961, 46.84363555908203, 16.330270767211914]","[-137.10940551757812, 49.09516143798828, 0.0]","[-57.55066680908203, 95.93879699707031, 16.330270767211914]",43102.26271754474,633.8568046697756,3726.8205616010237,0.10231041184383685,2.3292628510006397,0.3961605029186097,26.938914198465465,701975.0128789485,10323.161954102185,60859.98887175749
2802290,[419.28552  400.        28.866196],36,587,8,38.65714285714286,28.866195678710938,4.063275337219238,16.299409839085172,1691,48.31428571428572,584,"[157.71939086914062, 163.75228881835938, 23.191774368286133]","[-219.28550720214844, -20.282363891601562, 0.0]","[-61.56611633300781, 143.4699249267578, 23.191774368286133]",53757.43661771099,1535.9267605060284,25826.911245859228,0.011061430122830113,15.39935841129092,0.9158000526415038,32.05300184245263,1077853.0730117802,30795.802086050862,598971.8982437189
2808460,[400.      400.       17.23993],36,56,8,17.714285714285715,17.23992919921875,4.275917053222656,8.66077686037336,860,24.571428571428573,82,"[56.85610580444336, 86.03868103027344, 15.028937339782715]","[43.6428337097168, 35.34771728515625, 0.0]","[100.49893951416016, 121.38639831542969, 15.028937339782715]",17063.073601759057,487.5163886216873,4891.82435193198,0.05833773491965985,3.0573902199574876,0.3046977428885546,10.66442100109941,207910.72691085553,5940.306483167303,73518.92166240892
2802195,[400.       400.        30.111467],41,94,8,27.55,30.111467361450195,4.315954685211182,18.547950208187103,1583,39.575,139,"[98.55644989013672, 73.2259292602539, 16.564603805541992]","[-108.35047912597656, 65.48270416259766, 0.0]","[-9.794029235839844, 138.70863342285156, 16.564603805541992]",47706.783282229095,1192.6695820557275,9994.52479410544,0.15621233416866745,6.2465779963159,0.7454184887848296,29.816739551393187,778715.8096737653,19467.89524184413,119544.88426357362
2802775,[400.        400.          7.8347416],6,56,8,26.8,7.834741592407227,4.4198713302612305,6.4076924324035645,181,36.2,74,"[72.36782836914062, 91.96118927001953, 7.834741592407227]","[90.37765502929688, -22.222373962402344, 0.0]","[162.7454833984375, 69.73881530761719, 7.834741592407227]",9241.880152829362,1848.3760305658725,6655.03156171483,0.18130754349089784,4.159394726071769,1.1552350191036704,5.776175095518352,68519.09316308014,13703.818632616027,52140.45257535
2800932,[400.       400.        18.290253],9,68,8,20.5,18.290252685546875,4.432476043701172,14.471266388893127,232,29.0,102,"[77.3233871459961, 77.5894775390625, 18.290252685546875]","[78.54276275634766, -71.87155151367188, 0.0]","[155.86614990234375, 5.717926025390625, 18.290252685546875]",15975.283232476053,1996.9104040595066,5999.481210208498,0.11619224867426965,3.749675756380311,1.2480690025371917,9.984552020297532,263557.4494397832,32944.6811799729,109732.027316904
2803271,[400.       400.        19.419935],4,40,8,28.0,19.41993522644043,16.751508712768555,18.281466166178387,120,40.0,58,"[115.48567199707031, 114.63697814941406, 16.751508712768555]","[3.6170215606689453, -128.5782012939453, 0.0]","[119.10269165039062, -13.94122314453125, 16.751508712768555]",27304.632100294082,9101.54403343136,13238.928238645865,2.7601665085765124,8.274330149153666,5.688465020894601,17.065395062683802,487719.1364227664,162573.04547425546,221772.02173739386
2802478,[400.      400.       20.59995],129,30,8,11.78125,20.599950790405273,4.037981986999512,11.839623868465424,2006,15.671875,43,"[33.307334899902344, 48.412879943847656, 15.975933074951172]","[-51.08340835571289, 55.68744659423828, 0.0]","[-17.776071548461914, 104.10032653808594, 15.975933074951172]",50647.622191306546,395.6845483695824,1612.5040980987396,0.0440022028457679,1.0078150613117123,0.24730284273098901,31.654763869566583,696251.0886413506,5439.461630010554,25761.257554309963
2802435,[400.       400.        21.189419],66,28,8,12.892307692307693,21.18941879272461,4.081481456756592,11.210937830118032,1127,17.338461538461537,40,"[68.92584228515625, 56.194190979003906, 18.873735427856445]","[34.1536865234375, -33.567691802978516, 0.0]","[103.07952880859375, 22.626497268676758, 18.873735427856445]",50053.46738018928,770.0533443106041,4042.2795286620385,0.055705202866597574,2.526424705413774,0.4812833401941275,31.283417112618306,776805.1158688447,11950.847936443759,73102.35249488956
2803217,[400.      400.       34.66331],61,120,8,26.566666666666666,34.66331100463867,3.90873122215271,15.074562752246857,2357,39.28333333333333,202,"[64.31385803222656, 35.72223663330078, 19.645139694213867]","[87.08381652832031, 82.20734405517578, 0.0]","[151.39767456054688, 117.92958068847656, 19.645139694213867]",40984.44601770392,683.0741002950654,2692.126313667868,0.01568608720437055,1.6825789460424174,0.4269213126844159,25.615278761064957,686052.135360294,11434.2022560049,45133.42867323339
2803098,[400.       400.        26.281378],49,320,8,24.125,26.2813777923584,4.277162551879883,13.308467437823614,1649,34.354166666666664,482,"[112.91700744628906, 126.4474868774414, 17.21917152404785]","[67.01510620117188, -114.19520568847656, 0.0]","[179.93211364746094, 12.252281188964844, 17.21917152404785]",45371.691270556585,945.2435681365954,14278.07181730459,0.019438045649908416,8.923794885815369,0.5907772300853721,28.357307044097865,727219.7556297309,15150.411575619388,245856.56765484135
2805873,[400.       400.        46.478634],48,24,8,11.02127659574468,46.478633880615234,7.37717866897583,22.75856814485915,710,15.106382978723405,34,"[50.474666595458984, 51.65234375, 17.7313232421875]","[-51.44774627685547, 93.74327087402344, 0.0]","[-0.9730796813964844, 145.39561462402344, 17.7313232421875]",12906.473322998903,274.6058153829554,2607.1348296552896,0.011384611281682737,1.6294592685345561,0.1716286346143471,8.066545826874314,318813.864391114,6783.273710449235,46227.95040058339
2805499,[400.       400.        20.733849],53,48,8,15.884615384615385,20.733848571777344,4.201181411743164,12.269163131713867,1135,21.826923076923077,70,"[68.2621078491211, 66.61295318603516, 14.22755241394043]","[-166.79794311523438, 16.866661071777344, 0.0]","[-98.53583526611328, 83.4796142578125, 14.22755241394043]",27738.81456351638,533.4387416060842,4547.140594533586,0.0629318155098008,2.8419628715834917,0.3333992135038026,17.33675910219774,398446.93498033454,7662.441057314127,64694.68114228285
2801499,[400.       400.        33.702854],33,48,8,29.375,33.70285415649414,4.701998233795166,22.576119258999825,1344,42.0,70,"[59.8614616394043, 50.338226318359375, 19.50282096862793]","[-122.14399719238281, -138.53103637695312, 0.0]","[-62.282535552978516, -88.19281005859375, 19.50282096862793]",19282.24188758916,602.5700589871612,3013.3198037521215,0.06707869944155391,1.883324877345076,0.37660628686697584,12.051401179743227,497324.1085991666,15541.378393723953,58768.236653798675
